title,description,required_skills,sector_interests,location
Mobile App Developer Intern,Work on developing core functionalities.,"Java, Kotlin, Swift, Flutter","Mobile Apps, Technology",Mumbai
Data Analyst Intern,Develop educational content and resources.,"Excel, SQL, Python, Tableau","Technology, Finance",Hyderabad
Marketing Intern,Develop educational content and resources.,"SEO, Content Writing, Social Media, Communication",Marketing,Mumbai
Web Developer Intern,Assist finance team with budgeting and analysis.,"HTML, CSS, JavaScript, React","Web Development, Technology",Kolkata
Web Developer Intern,Support medical research and documentation.,"HTML, CSS, JavaScript, React","Web Development, Technology",Pune
AI/ML Intern,Assist in cybersecurity threat analysis.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Kolkata
AI/ML Intern,Work on machine learning models and AI projects.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Chennai
Software Engineer Intern,Support marketing campaigns and social media management.,"Python, Java, Git, SQL",Software,Kolkata
Software Engineer Intern,Assist finance team with budgeting and analysis.,"Python, Java, Git, SQL",Software,Chennai
Education Content Intern,Work on machine learning models and AI projects.,"Content Creation, Teaching, Research, Communication",Education,Mumbai
AI/ML Intern,Assist with data analysis and reporting.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Mumbai
Education Content Intern,Work on machine learning models and AI projects.,"Content Creation, Teaching, Research, Communication",Education,Mumbai
Marketing Intern,Work on machine learning models and AI projects.,"SEO, Content Writing, Social Media, Communication",Marketing,Bangalore
AI/ML Intern,Work on mobile app development projects.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Bhopal
Cybersecurity Analyst Intern,Support medical research and documentation.,"Networking, Python, Security, Linux","Cybersecurity, Technology",Chennai
AI/ML Intern,Develop educational content and resources.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Pune
Marketing Intern,Support marketing campaigns and social media management.,"SEO, Content Writing, Social Media, Communication",Marketing,Bhopal
Web Developer Intern,Develop educational content and resources.,"HTML, CSS, JavaScript, React","Web Development, Technology",Pune
Healthcare Research Intern,Develop and maintain web applications.,"Research, Data Analysis, Python, Excel",Healthcare,Mumbai
AI/ML Intern,Work on machine learning models and AI projects.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Kolkata
Education Content Intern,Support medical research and documentation.,"Content Creation, Teaching, Research, Communication",Education,Hyderabad
Web Developer Intern,Assist with data analysis and reporting.,"HTML, CSS, JavaScript, React","Web Development, Technology",Hyderabad
Finance Intern,Develop educational content and resources.,"Excel, Financial Analysis, Accounting, SQL",Finance,Bangalore
Healthcare Research Intern,Assist with data analysis and reporting.,"Research, Data Analysis, Python, Excel",Healthcare,Chennai
AI/ML Intern,Assist in cybersecurity threat analysis.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Bhopal
Cybersecurity Analyst Intern,Support medical research and documentation.,"Networking, Python, Security, Linux","Cybersecurity, Technology",Mumbai
Education Content Intern,Assist finance team with budgeting and analysis.,"Content Creation, Teaching, Research, Communication",Education,Bhopal
Education Content Intern,Work on developing core functionalities.,"Content Creation, Teaching, Research, Communication",Education,Pune
AI/ML Intern,Assist with data analysis and reporting.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Pune
Healthcare Research Intern,Work on developing core functionalities.,"Research, Data Analysis, Python, Excel",Healthcare,Pune
AI/ML Intern,Work on developing core functionalities.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Delhi
Healthcare Research Intern,Support medical research and documentation.,"Research, Data Analysis, Python, Excel",Healthcare,Mumbai
Marketing Intern,Support marketing campaigns and social media management.,"SEO, Content Writing, Social Media, Communication",Marketing,Pune
Data Analyst Intern,Develop educational content and resources.,"Excel, SQL, Python, Tableau","Technology, Finance",Chennai
Cybersecurity Analyst Intern,Work on developing core functionalities.,"Networking, Python, Security, Linux","Cybersecurity, Technology",Hyderabad
Healthcare Research Intern,Assist with data analysis and reporting.,"Research, Data Analysis, Python, Excel",Healthcare,Hyderabad
AI/ML Intern,Assist in cybersecurity threat analysis.,"Python, TensorFlow, Machine Learning, Data Analysis","Technology, Software",Kolkata
Education Content Intern,Work on mobile app development projects.,"Content Creation, Teaching, Research, Communication",Education,Chennai
Software Engineer Intern,Support medical research and documentation.,"Python, Java, Git, SQL",Software,Hyderabad
Finance Intern,Support medical research and documentation.,"Excel, Financial Analysis, Accounting, SQL",Finance,Kolkata
Data Analyst Intern,Support medical research and documentation.,"Excel, SQL, Python, Tableau","Technology, Finance",Bhopal
Finance Intern,Support medical research and documentation.,"Excel, Financial Analysis, Accounting, SQL",Finance,Bangalore
Education Content Intern,Support medical research and documentation.,"Content Creation, Teaching, Research, Communication",Education,Delhi
Mobile App Developer Intern,Develop and maintain web applications.,"Java, Kotlin, Swift, Flutter","Mobile Apps, Technology",Pune
Cybersecurity Analyst Intern,Work on developing core functionalities.,"Networking, Python, Security, Linux","Cybersecurity, Technology",Delhi
Data Analyst Intern,Work on machine learning models and AI projects.,"Excel, SQL, Python, Tableau","Technology, Finance",Bangalore
Web Developer Intern,Develop educational content and resources.,"HTML, CSS, JavaScript, React","Web Development, Technology",Pune
Software Engineer Intern,Develop educational content and resources.,"Python, Java, Git, SQL",Software,Delhi
Software Engineer Intern,Support medical research and documentation.,"Python, Java, Git, SQL",Software,Chennai
Web Developer Intern,Assist with data analysis and reporting.,"HTML, CSS, JavaScript, React","Web Development, Technology",Chennai
